was_home,team_top_6,opponent_team_top_6,GKP,DEF,MID,FWD,prev_value,diff_value,played_last_game,minutes_form,threat_form,bps_form,selected_form,transfers_balance_form,player_points_contribution_form,team_total_points_form,team_league_points_form,expected_points,opponent_team_league_points_form,team_form_difference,opponent_team_total_points_form,team_total_points_difference
True,True,False,False,True,False,False,54.0,-1.0,False,0.0,0.0,0.0,5895.0,-50.5,0.0,34.5,1.0,0.0,0.0,1.0,31.0,3.5
False,True,False,False,True,False,False,54.0,-1.0,False,0.0,0.0,0.0,5905.5,-51.0,0.0,34.5,1.0,0.0,0.0,1.0,28.5,6.0
True,True,True,False,True,False,False,54.0,-1.0,False,0.0,0.0,0.0,5919.5,-38.0,0.0,37.0,2.0,0.0,3.0,-1.0,59.5,-22.5
False,True,True,False,True,False,False,54.0,-1.0,False,0.0,0.0,0.0,5936.0,-28.0,0.0,44.5,3.0,0.0,1.0,2.0,43.0,1.5
True,True,False,False,True,False,False,54.0,-1.0,False,0.0,0.0,0.0,5960.5,-17.5,0.0,40.0,2.0,0.0,0.0,2.0,24.0,16.0
False,True,False,False,True,False,False,54.0,-1.0,False,0.0,0.0,0.0,6040.0,36.0,0.0,43.5,2.0,0.0,0.0,2.0,27.0,16.5
True,True,False,False,True,False,False,54.0,-1.0,True,45.0,3.5,6.315066922644641,7158.5,863.0,0.0,47.0,1.5,0.0,1.5,0.0,42.0,5.0
False,True,False,False,True,False,False,54.0,-1.0,False,45.0,3.5,3.8302817067210837,9819.5,2179.5,0.0,42.5,1.5,0.0,0.0,1.5,21.5,21.0
False,True,True,False,True,False,False,54.0,-1.0,True,34.5,1.0,10.614300251085087,11436.5,1243.5,0.030303030303030304,40.0,2.0,0.5,3.0,-1.0,76.0,-36.0
True,True,False,False,True,False,False,54.0,-1.0,False,57.0,1.0,11.66049620370044,10513.5,-1087.5,0.05303030303030303,27.5,0.5,1.4594202898550726,2.0,-1.5,45.0,-17.5
False,True,False,False,True,False,False,54.0,-1.0,True,67.5,1.0,15.710741990749248,10213.0,-571.0,0.039120715350223545,41.5,1.5,1.5,0.5,1.0,25.5,16.0
True,True,True,False,True,False,False,54.0,-1.0,True,90.0,1.0,17.152545801727477,10559.0,-53.5,0.06401249024199844,41.0,1.5,2.0,2.0,-0.5,47.5,-6.5
True,True,False,False,True,False,False,54.0,-1.0,True,90.0,17.0,30.933718989521818,10351.5,-538.5,0.148970398970399,47.5,1.5,8.5,0.5,1.0,37.0,10.5
False,True,True,False,True,False,False,54.0,-1.0,False,45.0,17.0,15.597329388758832,17558.0,6237.5,0.10135135135135136,57.0,3.0,3.75,1.5,1.5,52.5,4.5
False,True,False,False,True,False,False,54.0,-1.0,True,45.0,16.5,18.112040562251458,22043.0,4003.0,0.109375,36.0,1.5,1.75,0.0,1.5,19.5,16.5
True,True,False,False,True,False,False,54.0,-1.0,True,90.0,16.5,23.405817949169474,28465.5,5368.5,0.1434659090909091,38.0,1.5,5.0,0.5,1.0,35.5,2.5
True,True,False,False,True,False,False,54.0,-1.0,False,62.0,0.0,12.447561733859292,50364.5,15386.0,0.04155359565807327,55.5,3.0,1.9450980392156862,0.5,2.5,22.0,33.5
False,True,True,False,True,False,False,54.0,-1.0,True,62.0,9.5,20.20992155139631,57653.0,6226.5,0.072680077871512,68.0,3.0,4.011764705882353,0.0,3.0,22.0,46.0
True,True,True,False,True,False,False,54.0,-1.0,True,90.0,9.5,16.9943764966024,50662.5,-3017.0,0.10521739130434782,47.0,2.0,5.5,3.0,-1.0,46.0,1.0
True,True,False,False,True,False,False,54.0,-1.0,True,90.0,1.0,19.939476912402874,49031.5,-2076.5,0.08347826086956522,47.0,2.0,4.0,2.0,0.0,38.0,9.0
False,True,False,False,True,False,False,54.0,-1.0,False,45.0,1.0,9.211629639843915,53690.5,2503.5,0.043478260869565216,67.5,3.0,1.5,3.0,0.0,68.5,-1.0
False,True,False,False,True,False,False,54.0,-1.0,False,0.0,0.0,1.8646938995656948,55714.0,303.0,0.0,43.0,1.5,0.0,1.5,0.0,42.5,0.5
True,True,False,False,True,False,False,54.0,-1.0,True,45.0,0.0,17.22290978903084,50932.5,-4969.5,0.08490566037735849,36.5,1.5,2.25,1.5,0.0,47.5,-11.0
False,True,False,False,True,False,False,54.0,-1.0,True,90.0,1.0,21.354065702898247,64918.0,11334.0,0.1021470396877033,41.0,1.5,5.0,0.5,1.0,40.5,0.5
False,True,False,False,True,False,False,54.0,-1.0,True,90.0,3.0,16.984166405795804,80862.0,27142.0,0.03647214854111406,27.5,0.0,1.0,0.5,-0.5,31.5,-4.0
