id,first_name,second_name,web_name,position,team,squad_number
193,Tommy,Smith,Smith,1,9,2
194,Mathias,Jorgensen,Zanka,1,9,25
195,Scott,Malone,Malone,1,9,3
196,Florent,Hadergjonaj,Hadergjonaj,1,9,33
197,Terence,Kongolo,Kongolo,1,9,5
198,Aaron,Mooy,Mooy,2,9,10
199,Rajiv,van La Parra,van La Parra,2,9,17
200,Jonathan,Hogg,Hogg,2,9,6
201,Philip,Billing,Billing,2,9,8
202,Tom,Ince,Ince,2,9,11
203,Danny,Williams,Williams,2,9,19
204,Abdelhamid,Sabiri,Sabiri,2,9,29
205,Alex,Pritchard,Pritchard,2,9,21
206,Ramadan,Sobhi,Sobhi,2,9,14
207,Juninho,Bacuna,Bacuna,2,9,7
208,Collin,Quaner,Quaner,3,9,23
209,Laurent,Depoitre,Depoitre,3,9,20
210,Steve,Mounie,Mounie,3,9,24
211,Elias,Kachunga,Kachunga,3,9,9
212,Kasper,Schmeichel,Schmeichel,0,10,1
213,Eldin,Jakupovic,Jakupovic,0,10,17
214,Wes,Morgan,Morgan,1,10,5
215,Christian,Fuchs,Fuchs,1,10,28
216,Danny,Simpson,Simpson,1,10,2
217,Yohan,Benalouane,Benalouane,1,10,29
218,Benjamin,Chilwell,Chilwell,1,10,3
219,Harry,Maguire,Maguire,1,10,15
220,Ricardo Domingos,Barbosa Pereira,Pereira,1,10,14
221,Jonny,Evans,Evans,1,10,6
222,Riyad,Mahrez,Mahrez,2,12,26
223,Marc,Albrighton,Albrighton,2,10,11
224,Demarai,Gray,Gray,2,10,7
225,Daniel,Amartey,Amartey,2,10,18
226,Wilfred,Ndidi,Ndidi,2,10,25
227,Vicente,Iborra,Iborra,2,10,21
228,Matty,James,James,2,10,22
229,Hamza,Choudhury,Choudhury,2,10,38
230,Adrien Sebastian,Perruchet Silva,Silva,2,10,23
231,Fousseni,Diabaté,Diabaté,2,10,27
232,James,Maddison,Maddison,2,10,10
233,Jamie,Vardy,Vardy,3,10,9
234,Shinji,Okazaki,Okazaki,3,10,20
235,Kelechi,Iheanacho,Iheanacho,3,10,8
236,Simon,Mignolet,Mignolet,0,11,22
237,Loris,Karius,Karius,0,11,1
238,Dejan,Lovren,Lovren,1,11,6
239,Alberto,Moreno,Moreno,1,11,18
240,Nathaniel,Clyne,Clyne,1,1,23
241,Joseph,Gomez,Gomez,1,11,12
242,Joel,Matip,Matip,1,11,32
243,Ragnar,Klavan,Klavan,1,11,17
244,Trent,Alexander-Arnold,Alexander-Arnold,1,11,66
245,Virgil,van Dijk,van Dijk,1,11,4
246,Andrew,Robertson,Robertson,1,11,26
247,Alex,Oxlade-Chamberlain,Chamberlain,2,11,21
248,Jordan,Henderson,Henderson,2,11,14
249,Adam,Lallana,Lallana,2,11,20
250,Sadio,Mané,Mané,2,11,10
251,Georginio,Wijnaldum,Wijnaldum,2,11,5
252,Mohamed,Salah,Salah,2,11,11
253,James,Milner,Milner,2,11,7
254,Fabio Henrique,Tavares,Fabinho,2,11,3
255,Naby,Keita,Keita,2,11,8
256,Roberto,Firmino,Firmino,3,11,9
257,Danny,Ings,Ings,3,15,9
258,Dominic,Solanke,Solanke,3,1,29
259,Ederson,Santana de Moraes,Ederson,0,12,31
260,Claudio,Bravo,Bravo,0,12,1
261,John,Stones,Stones,1,12,5
262,Vincent,Kompany,Kompany,1,12,4
263,Nicolás,Otamendi,Otamendi,1,12,30
264,Kyle,Walker,Walker,1,12,2
265,Danilo Luiz,da Silva,Danilo,1,12,3
266,Benjamin,Mendy,Mendy,1,12,22
267,Aymeric,Laporte,Laporte,1,12,14
268,Fabian,Delph,Delph,1,12,18
269,Raheem,Sterling,Sterling,2,12,7
270,David,Silva,David Silva,2,12,21
271,Fernando,Luiz Rosa,Fernandinho,2,12,25
272,Kevin,De Bruyne,De Bruyne,2,12,17
273,Ilkay,Gündogan,Gündogan,2,12,8
274,Leroy,Sané,Sané,2,12,19
275,Bernardo Mota,Veiga de Carvalho e Silva,Bernardo Silva,2,12,20
276,Phil,Foden,Foden,2,12,47
277,Brahim,Diaz,Diaz,2,12,55
278,Oleksandr,Zinchenko,Zinchenko,2,12,35
279,Sergio,Agüero,Agüero,3,12,10
280,Gabriel Fernando,de Jesus,Jesus,3,12,33
281,David,de Gea,de Gea,0,13,1
282,Sergio,Romero,Romero,0,13,22
283,Chris,Smalling,Smalling,1,13,12
284,Phil,Jones,Jones,1,13,4
285,Luke,Shaw,Shaw,1,13,23
286,Marcos,Rojo,Rojo,1,13,16
287,Antonio,Valencia,Valencia,1,13,25
288,Matteo,Darmian,Darmian,1,13,36
289,Daley,Blind,Blind,1,13,17
290,Eric,Bailly,Bailly,1,13,3
291,Victor,Lindelöf,Lindelöf,1,13,2
292,Ashley,Young,Young,1,13,18
293,José Diogo,Dalot Teixeira,Dalot,1,13,20
294,Alexis,Sánchez,Sánchez,2,13,7
295,Nemanja,Matic,Matic,2,13,31
296,Juan,Mata,Mata,2,13,8
297,Marouane,Fellaini,Fellaini,2,13,27
298,Ander,Herrera,Herrera,2,13,21
299,Jesse,Lingard,Lingard,2,13,14
300,Anthony,Martial,Martial,2,13,11
301,Paul,Pogba,Pogba,2,13,6
302,Scott,McTominay,McTominay,2,13,39
303,Frederico,Rodrigues de Paula Santos,Fred,2,13,17
304,Marcus,Rashford,Rashford,3,13,10
305,Romelu,Lukaku,Lukaku,3,13,9
306,Robert,Elliot,Elliot,0,14,1
307,Karl,Darlow,Darlow,0,14,26
308,Martin,Dubravka,Dubravka,0,14,12
309,DeAndre,Yedlin,Yedlin,1,14,22
310,Ciaran,Clark,Clark,1,14,2
311,Jamaal,Lascelles,Lascelles,1,14,6
312,Paul,Dummett,Dummett,1,14,3
313,Florian,Lejeune,Lejeune,1,14,20
314,Javier,Manquillo,Manquillo,1,14,19
315,Chancel,Mbemba,Mbemba,1,14,18
316,Matt,Ritchie,Ritchie,2,14,11
317,Jonjo,Shelvey,Shelvey,2,14,8
318,Mohamed,Diamé,Diamé,2,14,10
319,Christian,Atsu,Atsu,2,14,30
320,Jacob,Murphy,Murphy,2,14,7
321,Mikel,Merino,Merino,2,14,23
322,Isaac,Hayden,Hayden,2,14,14
323,Sung-yueng,Ki,Ki Sung-yueng,2,14,4
324,Dwight,Gayle,Gayle,3,14,9
325,Ayoze,Pérez,Pérez,3,14,17
326,Jose Luis,Mato Sanmartín,Joselu,3,14,21
327,Alex,McCarthy,McCarthy,0,15,1
328,Fraser,Forster,Forster,0,15,44
329,Ryan,Bertrand,Bertrand,1,15,21
330,Maya,Yoshida,Yoshida,1,15,3
331,Cédric,Soares,Cédric,1,15,2
332,Jack,Stephens,Stephens,1,15,5
333,Sam,McQueen,McQueen,1,15,38
334,Jan,Bednarek,Bednarek,1,15,35
335,Wesley,Hoedt,Hoedt,1,15,6
336,Steven,Davis,Davis,2,15,8
337,James,Ward-Prowse,Ward-Prowse,2,15,16
338,Oriol,Romeu Vidal,Oriol Romeu,2,15,14
339,Pierre-Emile,Højbjerg,Højbjerg,2,15,23
340,Sofiane,Boufal,Boufal,2,15,19
341,Joshua,Sims,Sims,2,15,39
342,Nathan,Redmond,Redmond,2,15,22
343,Mario,Lemina,Lemina,2,15,18
344,Stuart,Armstrong,Armstrong,2,15,17
345,Mohamed,Elyounoussi,Elyounoussi,2,15,11
346,Shane,Long,Long,3,15,7
347,Charlie,Austin,Austin,3,15,10
348,Manolo,Gabbiadini,Gabbiadini,3,15,20
349,Guido,Carrillo,Carrillo,3,15,9
350,Hugo,Lloris,Lloris,0,16,1
351,Michel,Vorm,Vorm,0,16,13
352,Toby,Alderweireld,Alderweireld,1,16,4
353,Danny,Rose,Rose,1,16,3
354,Jan,Vertonghen,Vertonghen,1,16,5
355,Ben,Davies,Davies,1,16,33
356,Kieran,Trippier,Trippier,1,16,2
357,Kyle,Walker-Peters,Walker-Peters,1,16,16
358,Davinson,Sánchez,Sánchez,1,16,6
359,Serge,Aurier,Aurier,1,16,24
360,Eric,Dier,Dier,2,16,15
361,Mousa,Dembélé,Dembélé,2,16,19
362,Erik,Lamela,Lamela,2,16,11
363,Christian,Eriksen,Eriksen,2,16,23
364,Bamidele,Alli,Alli,2,16,20
365,Victor,Wanyama,Wanyama,2,16,12
366,Heung-Min,Son,Son,2,16,7
367,Harry,Winks,Winks,2,16,8
368,Moussa,Sissoko,Sissoko,2,16,17
369,Lucas,Rodrigues Moura da Silva,Lucas Moura,2,16,27
370,Fernando,Llorente,Llorente,3,16,18
371,Harry,Kane,Kane,3,16,10
372,Heurelho,Gomes,Gomes,0,17,1
373,Pontus,Dahlberg,Dahlberg,0,17,30
374,Younes,Kaboul,Kaboul,1,17,4
375,Craig,Cathcart,Cathcart,1,17,15
376,Sebastian,Prödl,Prödl,1,17,5
377,José,Holebas,Holebas,1,17,25
378,Miguel,Britos,Britos,1,17,3
379,Christian,Kabasele,Kabasele,1,17,27
380,Daryl,Janmaat,Janmaat,1,17,2
381,Adrian,Mariappa,Mariappa,1,17,6
382,Francisco,Femenía Far,Kiko Femenía,1,17,21
383,Marvin,Zeegelaar,Zeegelaar,1,17,22
384,Marc,Navarro,Navarro,1,17,23
385,Adam,Masina,Masina,1,17,11
386,Nathaniel,Chalobah,Chalobah,2,17,14
387,Tom,Cleverley,Cleverley,2,17,8
388,Etienne,Capoue,Capoue,2,17,29
389,Abdoulaye,Doucouré,Doucouré,2,17,16
390,Roberto,Pereyra,Pereyra,2,17,37
391,Will,Hughes,Hughes,2,17,19
392,Richarlison,de Andrade,Richarlison,2,7,30
393,Gerard,Deulofeu,Deulofeu,2,17,7
394,Andre,Gray,Gray,3,17,18
395,Troy,Deeney,Deeney,3,17,9
396,Stefano,Okaka,Okaka,3,17,33
397,Jerome,Sinclair,Sinclair,3,17,17
398,Adrián,San Miguel del Castillo,Adrián,0,18,13
399,Lukasz,Fabianski,Fabianski,0,18,1
400,Winston,Reid,Reid,1,18,2
401,Aaron,Cresswell,Cresswell,1,18,3
402,Angelo,Ogbonna,Ogbonna,1,18,21
403,Sam,Byram,Byram,1,18,22
404,Pablo,Zabaleta,Zabaleta,1,18,5
405,Declan,Rice,Rice,1,18,41
406,Reece,Oxford,Oxford,1,18,35
407,Ryan,Fredericks,Fredericks,1,18,24
408,Issa,Diop,Diop,1,18,23
409,Arthur,Masuaku,Masuaku,2,18,26
410,Mark,Noble,Noble,2,18,16
411,Cheikhou,Kouyaté,Kouyaté,2,6,8
412,Pedro,Obiang,Obiang,2,18,14
413,Manuel,Lanzini,Lanzini,2,18,10
414,Michail,Antonio,Antonio,2,18,30
415,Edimilson,Fernandes,Fernandes,2,18,31
416,Marko,Arnautovic,Arnautovic,3,18,7
417,Andy,Carroll,Carroll,3,18,9
418,Javier,Hernández Balcázar,Chicharito,3,18,17
419,Jordan,Hugill,Hugill,3,18,12
420,John,Ruddy,Ruddy,0,19,21
421,Will,Norris,Norris,0,19,31
422,Willy,Boly,Boly,1,19,15
423,Barry,Douglas,Douglas,1,19,3
424,Matt,Doherty,Doherty,1,19,2
425,Romain,Saïss,Saïss,1,19,27
426,Ryan,Bennett,Bennett,1,19,5
427,Danny,Batth,Batth,1,19,6
428,Roderick Jefferson,Gonçalves Miranda,Miranda,1,19,25
429,Conor,Coady,Coady,1,19,16
430,Rúben Gonçalo,Silva Nascimento Vinagre,Vinagre,1,19,29
431,Diogo,Jota,Jota,2,19,18
432,Rúben Diogo,da Silva Neves,Neves,2,19,8
433,Ivan,Cavaleiro,Cavaleiro,2,19,7
434,Hélder,Costa,Costa,2,19,10
435,Bright,Enobakhare,Enobakhare,2,19,14
436,Raúl,Jiménez,Jiménez,3,19,9
437,Bonatini Lohner Maia,Bonatini,Bonatini,3,19,33
438,Jason,Steele,Steele,0,2,23
439,Bernardo,Fernandes da Silva Junior,Bernardo,1,2,30
440,Joel,Ward,Ward,1,6,2
